species_name,common_Name,order,family,actual_label,predicted_probability,zoonointel_score,risk_tier,missing_feature_percent,confidence_level,data_completeness_percent,total_missing_features,total_imputed_features,uncertainty_reason,top_driver_1,top_driver_2,top_driver_3
Euneomys chinchilloides,Chinchilloides Euneomys,Rodentia,Cricetidae,0,0.037809562,3.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euneomys fossor,Fossor Euneomys,Rodentia,Cricetidae,0,0.036250463,3.63,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euneomys mordax,Mordax Euneomys,Rodentia,Cricetidae,0,0.089161719,8.92,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euneomys petersoni,Peterson’s Euneomys,Rodentia,Cricetidae,0,0.040254554,4.03,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euoticus elegantulus,Elegantulus Euoticus,Primates,Galagidae,1,0.379178807,37.92,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euoticus pallidus,Pallidus Euoticus,Primates,Galagidae,0,0.081861898,8.19,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Eupetaurus cinereus,Ashy Eupetaurus,Rodentia,Sciuridae,0,0.042042938,4.2,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euphractus sexcinctus,Sexcinctus Euphractus,Cingulata,Dasypodidae,0,0.435464891,43.55,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Eupleres goudotii,Goudoti’s Eupleres,Carnivora,Eupleridae,0,0.101142882,10.11,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euroscaptor grandis,Large Mole,Soricomorpha,Talpidae,0,0.021370272,2.14,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euroscaptor klossi,Kloss’s Mole,Soricomorpha,Talpidae,0,0.024837614,2.48,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euroscaptor longirostris,Longirostris Mole,Soricomorpha,Talpidae,0,0.247174222,24.72,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euroscaptor micrura,Micrura Mole,Soricomorpha,Talpidae,0,0.02624808,2.62,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euroscaptor mizura,Mizura Mole,Soricomorpha,Talpidae,0,0.027585906,2.76,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euroscaptor parvidens,Parvidens Mole,Soricomorpha,Talpidae,0,0.013522131,1.35,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Euryzygomatomys spinosus,Spinosus Euryzygomatomys,Rodentia,Echimyidae,1,0.173873166,17.39,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Exilisciurus concinnus,Concinnus Exilisciurus,Rodentia,Sciuridae,0,0.031566318,3.16,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Connochaetes taurinus,Blue Wildebeest,Artiodactyla,Bovidae,1,0.739502648,73.95,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cormura brevirostris,Brevirostris Cormura,Chiroptera,Emballonuridae,0,0.120174585,12.02,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Corynorhinus mexicanus,Mexican Big-eared Bat,Chiroptera,Vespertilionidae,0,0.153128247,15.31,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Corynorhinus rafinesquii,Rafinesqui’s Big-eared Bat,Chiroptera,Vespertilionidae,0,0.279915878,27.99,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Corynorhinus townsendii,Townsendi’s Big-eared Bat,Chiroptera,Vespertilionidae,1,0.787779548,78.78,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Coryphomys buehleri,Buehler’s Coryphomys,Rodentia,Muridae,0,0.068497588,6.85,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Craseonycteris thonglongyai,Kitti’s Hog-nosed Bat,Chiroptera,Craseonycteridae,0,0.004926521,0.49,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crateromys australis,Southern Crateromys,Rodentia,Muridae,0,0.015361694,1.54,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crateromys heaneyi,Heaney’s Crateromys,Rodentia,Muridae,0,0.012272306,1.23,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crateromys paulus,Paulus Crateromys,Rodentia,Muridae,0,0.011747407,1.17,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
