species_name,common_Name,order,family,actual_label,predicted_probability,zoonointel_score,risk_tier,missing_feature_percent,confidence_level,data_completeness_percent,total_missing_features,total_imputed_features,uncertainty_reason,top_driver_1,top_driver_2,top_driver_3
Camelus dromedarius,Dromedary Camel,Artiodactyla,Camelidae,1,0.841559156,84.16,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Canis adustus,Side-striped Jackal,Carnivora,Canidae,1,0.650466398,65.05,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Canis aureus,Golden Jackal,Carnivora,Canidae,1,0.88177093,88.18,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Canis latrans,Coyote,Carnivora,Canidae,1,0.922344445,92.23,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Canis lupus,Gray Wolf,Carnivora,Canidae,1,0.923492594,92.35,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Bos frontalis,Gayal,Artiodactyla,Bovidae,1,0.654400696,65.44,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Bos grunniens,Domestic Yak,Artiodactyla,Bovidae,1,0.512188724,51.22,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Bos javanicus,Banteng,Artiodactyla,Bovidae,1,0.701712304,70.17,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus cupreus,Cupreus Titi Monkey,Primates,Pitheciidae,0,0.173850251,17.39,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus discolor,Discolor Titi Monkey,Primates,Pitheciidae,0,0.037774056,3.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus donacophilus,Donacophilus Titi Monkey,Primates,Pitheciidae,0,0.068321948,6.83,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus dubius,Dubius Titi Monkey,Primates,Pitheciidae,0,0.037774056,3.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus hoffmannsi,Hoffmanns’s Titi Monkey,Primates,Pitheciidae,0,0.051398517,5.14,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus lucifer,Lucifer Titi Monkey,Primates,Pitheciidae,0,0.037774056,3.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus lugens,Lugens Titi Monkey,Primates,Pitheciidae,0,0.037774056,3.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus medemi,Medem’s Titi Monkey,Primates,Pitheciidae,0,0.050245374,5.02,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus melanochir,Melanochir Titi Monkey,Primates,Pitheciidae,0,0.217427962,21.74,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus modestus,Modestus Titi Monkey,Primates,Pitheciidae,0,0.059268823,5.93,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Caluromys derbianus,Derbianus Caluromys,Didelphimorphia,Didelphidae,1,0.529300843,52.93,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Caluromys lanatus,Lanatus Caluromys,Didelphimorphia,Didelphidae,0,0.275136886,27.51,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Caluromys philander,Philander Caluromys,Didelphimorphia,Didelphidae,1,0.411845132,41.18,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Caluromysiops irrupta,Irrupta Caluromysiops,Didelphimorphia,Didelphidae,0,0.037500275,3.75,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calyptophractus retusus,Retusus Calyptophractus,Cingulata,Dasypodidae,0,0.138345746,13.83,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Camelus bactrianus,Bactrian Camel,Artiodactyla,Camelidae,1,0.841559156,84.16,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Bos sauveli,Kouprey,Artiodactyla,Bovidae,0,0.35125344,35.13,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Bos taurus,Domestic Cattle,Artiodactyla,Bovidae,1,0.383185887,38.32,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Boselaphus tragocamelus,Nilgai,Artiodactyla,Bovidae,1,0.656821891,65.68,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Brachiones przewalskii,Przewalski’s Brachiones,Rodentia,Muridae,0,0.211864691,21.19,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Canis mesomelas,Black-backed Jackal,Carnivora,Canidae,1,0.692972073,69.3,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Canis simensis,Ethiopian Wolf,Carnivora,Canidae,1,0.447790364,44.78,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cannomys badius,Badius Cannomys,Rodentia,Spalacidae,0,0.08757095,8.76,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cansumys canus,Canus Cansumys,Rodentia,Cricetidae,0,0.104006397,10.4,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Caperea marginata,Marginata Caperea,Cetacea,Neobalaenidae,0,0.288588164,28.86,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Capra caucasica,West Caucasian Tur,Artiodactyla,Bovidae,1,0.774463629,77.45,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Capra falconeri,Markhor,Artiodactyla,Bovidae,0,0.386235658,38.62,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Capra hircus,Domestic Goat,Artiodactyla,Bovidae,1,0.624115251,62.41,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Capra ibex,Alpine Ibex,Artiodactyla,Bovidae,1,0.500683352,50.07,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Atelerix algirus,Algirus Hedgehog,Erinaceomorpha,Erinaceidae,0,0.247396789,24.74,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Atelerix frontalis,Frontalis Hedgehog,Erinaceomorpha,Erinaceidae,0,0.248246008,24.82,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Atelerix sclateri,Sclater’s Hedgehog,Erinaceomorpha,Erinaceidae,0,0.037068174,3.71,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Ateles belzebuth,Belzebuth Spider Monkey,Primates,Atelidae,0,0.429270906,42.93,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Ateles chamek,Chamek Spider Monkey,Primates,Atelidae,0,0.256756612,25.68,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Ateles fusciceps,Fusciceps Spider Monkey,Primates,Atelidae,1,0.552747604,55.27,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Ateles geoffroyi,Geoffroy’s Spider Monkey,Primates,Atelidae,1,0.738862111,73.89,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Ateles hybridus,Hybridus Spider Monkey,Primates,Atelidae,0,0.329555034,32.96,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Ateles marginatus,Marginatus Spider Monkey,Primates,Atelidae,0,0.275487991,27.55,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Ateles paniscus,Paniscus Spider Monkey,Primates,Atelidae,1,0.60191474,60.19,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus moloch,Moloch Titi Monkey,Primates,Pitheciidae,0,0.107218137,10.72,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus nigrifrons,Nigrifrons Titi Monkey,Primates,Pitheciidae,0,0.223335831,22.33,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus oenanthe,Oenanthe Titi Monkey,Primates,Pitheciidae,0,0.03081521,3.08,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus olallae,Olall’s Titi Monkey,Primates,Pitheciidae,0,0.059268823,5.93,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus ornatus,Ornatus Titi Monkey,Primates,Pitheciidae,0,0.119115979,11.91,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus pallescens,Pallescens Titi Monkey,Primates,Pitheciidae,0,0.083474246,8.35,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus personatus,Personatus Titi Monkey,Primates,Pitheciidae,0,0.218045534,21.8,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus purinus,Purinus Titi Monkey,Primates,Pitheciidae,0,0.037774056,3.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus regulus,Regulus Titi Monkey,Primates,Pitheciidae,0,0.037774056,3.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus stephennashi,Stephennash’s Titi Monkey,Primates,Pitheciidae,0,0.037774056,3.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus torquatus,Torquatus Titi Monkey,Primates,Pitheciidae,0,0.038202727,3.82,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callimico goeldii,Goeldi’s Callimico,Primates,Cebidae,1,0.439148048,43.91,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callistomys pictus,Pictus Callistomys,Rodentia,Echimyidae,0,0.057885869,5.79,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix acariensis,Acariensis Marmoset,Primates,Cebidae,0,0.074555173,7.46,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix argentata,Argentata Marmoset,Primates,Cebidae,0,0.069399099,6.94,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix aurita,Aurita Marmoset,Primates,Cebidae,0,0.236626585,23.66,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix chrysoleuca,Chrysoleuca Marmoset,Primates,Cebidae,0,0.063409945,6.34,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix emiliae,Emili’s Marmoset,Primates,Cebidae,0,0.124587528,12.46,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix flaviceps,Flaviceps Marmoset,Primates,Cebidae,0,0.184659156,18.47,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix geoffroyi,Geoffroy’s Marmoset,Primates,Cebidae,1,0.447003394,44.7,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix humeralifera,Humeralifera Marmoset,Primates,Cebidae,0,0.064153653,6.42,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix humilis,Humilis Marmoset,Primates,Cebidae,0,0.063688355,6.37,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix intermedia,Intermedia Marmoset,Primates,Cebidae,0,0.051596966,5.16,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix jacchus,Jacchus Marmoset,Primates,Cebidae,1,0.504426941,50.44,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix kuhlii,Kuhli’s Marmoset,Primates,Cebidae,0,0.32199671,32.2,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix leucippe,Leucippe Marmoset,Primates,Cebidae,0,0.053058112,5.31,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix manicorensis,Manicorensis Marmoset,Primates,Cebidae,0,0.048219397,4.82,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix marcai,Marca’s Marmoset,Primates,Cebidae,0,0.059762502,5.98,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix mauesi,Maues’s Marmoset,Primates,Cebidae,0,0.023385207,2.34,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix melanura,Melanura Marmoset,Primates,Cebidae,0,0.056817606,5.68,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix nigriceps,Nigriceps Marmoset,Primates,Cebidae,0,0.069138681,6.91,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix penicillata,Penicillata Marmoset,Primates,Cebidae,1,0.352314982,35.23,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix pygmaea,Pygmy Marmoset,Primates,Cebidae,0,0.139987964,14,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callithrix saterei,Satere’s Marmoset,Primates,Cebidae,0,0.042183267,4.22,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callorhinus ursinus,Northern Fur Seal,Carnivora,Otariidae,1,0.526035818,52.6,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus adamsi,Adams’s Beautiful Squirrel,Rodentia,Sciuridae,0,0.010127128,1.01,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus albescens,Albescens Beautiful Squirrel,Rodentia,Sciuridae,0,0.109290655,10.93,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus baluensis,Baluensis Beautiful Squirrel,Rodentia,Sciuridae,0,0.02209245,2.21,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus caniceps,Caniceps Beautiful Squirrel,Rodentia,Sciuridae,0,0.07915981,7.92,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus erythraeus,Erythraeus Beautiful Squirrel,Rodentia,Sciuridae,0,0.309575507,30.96,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus finlaysonii,Finlaysoni’s Beautiful Squirrel,Rodentia,Sciuridae,0,0.10156405,10.16,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus inornatus,Inornatus Beautiful Squirrel,Rodentia,Sciuridae,0,0.064571914,6.46,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus melanogaster,Melanogaster Beautiful Squirrel,Rodentia,Sciuridae,0,0.023963698,2.4,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus nigrovittatus,Nigrovittatus Beautiful Squirrel,Rodentia,Sciuridae,0,0.084044626,8.4,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus notatus,Notatus Beautiful Squirrel,Rodentia,Sciuridae,0,0.093400993,9.34,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus orestes,Orestes Beautiful Squirrel,Rodentia,Sciuridae,0,0.012114828,1.21,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus phayrei,Phayre’s Beautiful Squirrel,Rodentia,Sciuridae,0,0.045562198,4.56,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus prevostii,Prevosti’s Beautiful Squirrel,Rodentia,Sciuridae,0,0.060414202,6.04,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus pygerythrus,Pygerythrus Beautiful Squirrel,Rodentia,Sciuridae,0,0.08693213,8.69,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callosciurus quinquestriatus,Quinquestriatus Beautiful Squirrel,Rodentia,Sciuridae,0,0.030762425,3.08,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomys boliviae,Bolivi’s Vesper Mouse,Rodentia,Cricetidae,0,0.037662709,3.77,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomys callidus,Callidus Vesper Mouse,Rodentia,Cricetidae,1,0.364383388,36.44,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomys callosus,Callosus Vesper Mouse,Rodentia,Cricetidae,1,0.335808212,33.58,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomys expulsus,Expulsus Vesper Mouse,Rodentia,Cricetidae,0,0.352227597,35.22,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomys hummelincki,Hummelinck’s Vesper Mouse,Rodentia,Cricetidae,0,0.101438375,10.14,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomys laucha,Laucha Vesper Mouse,Rodentia,Cricetidae,1,0.668798412,66.88,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomys lepidus,Lepidus Vesper Mouse,Rodentia,Cricetidae,0,0.170248692,17.02,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomys musculinus,Musculinus Vesper Mouse,Rodentia,Cricetidae,1,0.695651135,69.57,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomys sorellus,Sorellus Vesper Mouse,Rodentia,Cricetidae,0,0.057588348,5.76,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomys tener,Tener Vesper Mouse,Rodentia,Cricetidae,1,0.557969544,55.8,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomys tocantinsi,Tocantins’s Vesper Mouse,Rodentia,Cricetidae,0,0.364383388,36.44,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomys venustus,Venustus Vesper Mouse,Rodentia,Cricetidae,0,0.335808212,33.58,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomyscus bailwardi,Bailward’s Mouse-like Hamster,Rodentia,Calomyscidae,0,0.034418471,3.44,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomyscus baluchi,Baluch’s Mouse-like Hamster,Rodentia,Calomyscidae,0,0.01998591,2,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomyscus elburzensis,Elburzensis Mouse-like Hamster,Rodentia,Calomyscidae,0,0.050137332,5.01,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomyscus grandis,Large Mouse-like Hamster,Rodentia,Calomyscidae,0,0.019029768,1.9,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomyscus hotsoni,Hotson’s Mouse-like Hamster,Rodentia,Calomyscidae,0,0.006230919,0.62,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomyscus mystax,Mystax Mouse-like Hamster,Rodentia,Calomyscidae,0,0.018836645,1.88,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomyscus tsolovi,Tsolov’s Mouse-like Hamster,Rodentia,Calomyscidae,0,0.007521265,0.75,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calomyscus urartensis,Urartensis Mouse-like Hamster,Rodentia,Calomyscidae,0,0.027397693,2.74,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Caloprymnus campestris,Field Caloprymnus,Diprotodontia,Potoroidae,0,0.150196813,15.02,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Atelocynus microtis,Small-eared Atelocynus,Carnivora,Canidae,0,0.43345359,43.35,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Atherurus africanus,African Brush-tailed Porcupine,Rodentia,Hystricidae,1,0.554022659,55.4,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Atherurus macrourus,Macrourus Brush-tailed Porcupine,Rodentia,Hystricidae,0,0.226177151,22.62,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Atilax paludinosus,Paludinosus Atilax,Carnivora,Herpestidae,1,0.778742119,77.87,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Atlantoxerus getulus,Getulus Atlantoxerus,Rodentia,Sciuridae,0,0.035687725,3.57,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Auliscomys boliviensis,Boliviensis Auliscomys,Rodentia,Cricetidae,0,0.09776631,9.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Auliscomys pictus,Pictus Auliscomys,Rodentia,Cricetidae,0,0.110704452,11.07,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Auliscomys sublimis,Sublimis Auliscomys,Rodentia,Cricetidae,0,0.082880885,8.29,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Avahi laniger,Laniger Woolly Lemur,Primates,Indriidae,0,0.175990144,17.6,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
